,murderandn,robbery,aggravated,burglary,larcenythe,motorvehic,arson,otherassau,forgeryand,fraud,embezzleme,stolenprop,vandalism,weaponscar,prostituti,sexoffense,drugabusev,gambling,offensesag,drivingund,liquorlaws,drunkennes,disorderly,allotherof,population,year,state,decrim,medical,recreational,st
84,31,305,997,1216,12623,641,141,7989,1027,826,14,667,2945,880,386,775,6335,4,987.0,6292.0,11034,4446.0,3866.0,24949,1553493.0,2000,UTAH,0,0,0,UT
85,6,2,228,277,1138,66,7,1274,145,452,38,122,383,13,0,32,1036,0,376.0,2834.0,1356,1.0,859.0,2409,490375.0,2000,VERMONT,0,0,0,VT
86,238,1220,4393,3489,16516,1465,311,30204,2340,10214,1038,621,3869,3365,605,1068,21057,12,780.0,24027.0,9386,23085.0,6096.0,82326,5171885.0,2000,VIRGINIA,0,0,0,VA
87,138,1339,5041,5155,27287,2183,411,30909,2858,1416,148,3869,6911,2813,757,1444,21343,4,185.0,28718.0,15138,30.0,4447.0,54121,4079953.0,2000,WASHINGTON,1,1,0,WA
88,19,96,1145,547,2266,217,47,3900,224,889,38,115,635,236,23,132,1918,26,83.0,4898.0,1430,2104.0,722.0,3454,882972.0,2000,WESTVIRGINIA,0,0,0,WV
89,11,38,549,396,2309,136,29,2591,128,227,2,91,540,146,4,147,2310,1,210.0,4488.0,5658,1451.0,1477.0,10049,491760.0,2000,WYOMING,0,0,0,WY
90,306,1430,3614,2717,13580,1061,89,23918,1967,11366,32,1881,2143,1340,90,349,12932,110,1464.0,13161.0,6044,8139.0,3692.0,59388,3362694.0,2001,ALABAMA,0,0,0,AL
91,26,156,1003,503,3009,366,18,4201,94,144,0,15,895,386,61,209,1542,0,489.0,4470.0,876,76.0,913.0,12631,572517.0,2001,ALASKA,0,1,0,AK
92,244,1537,6766,4614,28267,4351,1348,23381,2694,2047,206,1694,9013,2889,1878,1751,29316,21,2651.0,33255.0,24165,0.0,16659.0,76014,5016343.0,2001,ARIZONA,0,0,0,AZ
93,29,413,2459,1752,9736,558,130,5752,1529,17055,53,1180,924,1602,368,472,10201,82,1799.0,14672.0,1918,12901.0,4542.0,65599,1909612.0,2001,ARKANSAS,0,0,0,AR
94,1756,17142,111587,48797,93192,25462,1995,84300,13255,9832,2017,16171,26647,23336,12032,15629,248443,508,634.0,177438.0,27732,106103.0,17242.0,300224,34422445.0,2001,CALIFORNIA,0,1,0,CA
95,133,841,4220,2775,21371,2390,296,21636,1300,1918,114,778,6550,2277,1328,1329,16598,17,2636.0,23579.0,18559,454.0,16421.0,73371,3448951.0,2001,COLORADO,0,0,0,CO
96,119,1407,4590,2707,13938,1208,156,18307,897,1751,170,464,3239,1393,565,705,17544,49,1614.0,10147.0,1776,25.0,20514.0,39173,3093664.0,2001,CONNECTICUT,0,0,0,CT
97,7,277,987,1052,3666,196,61,5990,304,1602,277,220,1208,923,138,54,1827,0,188.0,203.0,1576,217.0,1658.0,5199,717822.0,2001,DELAWARE,0,0,0,DE
